"","candidate","district","borough","votes","party","olpr.winner"
"Write-In5406","KATIE NELSON","32","Queens County",1,"Write-In5406",0
"Write-In5407","KAYLA SANTVOSSO","32","Queens County",1,"Write-In5407",0
"Write-In5408","KAZZIMIERZ GRADZVI","32","Queens County",1,"Write-In5408",0
"Write-In5409","KEITH SULLIVAN","32","Queens County",1,"Write-In5409",0
"Write-In5410","KENICHI WILSON","32","Queens County",2,"Write-In5410",0
"Write-In5411","KEVIN COLLINS","32","Queens County",2,"Write-In5411",0
"Write-In5412","KEVIN PAREDES","32","Queens County",1,"Write-In5412",0
"Write-In5413","KHALEEL M. ANDERSON","32","Queens County",1,"Write-In5413",0
"Write-In5414","KHALIL BRATTON","32","Queens County",1,"Write-In5414",0
"Write-In5415","KIM LEBRON","32","Queens County",1,"Write-In5415",0
"Write-In5416","KINDA LEE","32","Queens County",1,"Write-In5416",0
"Write-In5417","LAURA HALLIGAN","32","Queens County",1,"Write-In5417",0
"Write-In5418","LE BRAN JAMES","32","Queens County",1,"Write-In5418",0
"Write-In5419","LEBRON JAMES","32","Queens County",1,"Write-In5419",0
"Write-In5420","LEO NAMUCHE","32","Queens County",1,"Write-In5420",0
"Write-In5421","LEROY A. BLAIR","32","Queens County",1,"Write-In5421",0
"Write-In5422","LESLIE HONG","32","Queens County",2,"Write-In5422",0
"Write-In5423","LESLIE KNOPE","32","Queens County",1,"Write-In5423",0
"Write-In5424","LEW SIMON","32","Queens County",6,"Write-In5424",0
"Write-In5425","LIANI ASTACIO","32","Queens County",1,"Write-In5425",0
"Write-In5426","LILA FREEMAN","32","Queens County",1,"Write-In5426",0
"Write-In5427","LILLIAN ACOSTA","32","Queens County",1,"Write-In5427",0
"Write-In5428","LIN WOO","32","Queens County",1,"Write-In5428",0
"Write-In5429","LINCOLN RESLER CD","32","Queens County",1,"Write-In5429",0
"Write-In5430","LINDA BERNAL","32","Queens County",1,"Write-In5430",0
"Write-In5431","LINDA LEE","32","Queens County",3,"Write-In5431",0
"Write-In5432","LOUIS RAYMOND CABLERE","32","Queens County",1,"Write-In5432",0
"Write-In5433","LOYCENT GORDON","32","Queens County",1,"Write-In5433",0
"Write-In5434","LUCAS AYALA","32","Queens County",1,"Write-In5434",0
"Write-In5435","LUCY PARSONS","32","Queens County",1,"Write-In5435",0
"Write-In5436","MAGIE SIMPLLET","32","Queens County",1,"Write-In5436",0
"Write-In5437","MARGARET MINOGUE","32","Queens County",1,"Write-In5437",0
"Write-In5438","MARGARET POWERS","32","Queens County",1,"Write-In5438",0
"Write-In5439","MARTIN TUBRIDY","32","Queens County",1,"Write-In5439",0
"Write-In5440","MARTYNA KIUCAYNSKA","32","Queens County",1,"Write-In5440",0
"Write-In5441","MARY DAWSON","32","Queens County",2,"Write-In5441",0
"Write-In5442","MARY GLYNN","32","Queens County",4,"Write-In5442",0
"Write-In5443","MATTHEW GARCIA","32","Queens County",2,"Write-In5443",0
"Write-In5444","MATTHEW MCALISTER","32","Queens County",1,"Write-In5444",0
"Write-In5445","MATTHEW VOLZ","32","Queens County",1,"Write-In5445",0
"Write-In5446","MAX ROSE","32","Queens County",1,"Write-In5446",0
"Write-In5447","MAYOR ZANE","32","Queens County",1,"Write-In5447",0
"Write-In5448","MD LUFFY","32","Queens County",1,"Write-In5448",0
"Write-In5449","MEGAN WALSH","32","Queens County",1,"Write-In5449",0
"Write-In5450","MICHAEL BLOOMBERG","32","Queens County",1,"Write-In5450",0
"Write-In5451","MICHAEL MOSSA","32","Queens County",1,"Write-In5451",0
"Write-In5452","MICHAEL PEREZ","32","Queens County",1,"Write-In5452",0
"Write-In5453","MICHELLE OBAMA","32","Queens County",1,"Write-In5453",0
"Write-In5454","MICKEY MOUSE","32","Queens County",13,"Write-In5454",0
"Write-In5455","MIKE DIGIGLIO","32","Queens County",1,"Write-In5455",0
"Write-In5456","MIKE SCALA","32","Queens County",3,"Write-In5456",0
"Write-In5457","MIKE SCHITT","32","Queens County",1,"Write-In5457",0
"Write-In5458","MIKI DORA","32","Queens County",1,"Write-In5458",0
"Write-In5459","MOHAMMAD JALEEMUL","32","Queens County",1,"Write-In5459",0
"Write-In5460","MONICA COLLINS","32","Queens County",1,"Write-In5460",0
"Write-In5461","NAZRER RAHMAN","32","Queens County",1,"Write-In5461",0
"Write-In5462","NICHOLAS MEEHAN","32","Queens County",1,"Write-In5462",0
"Write-In5463","NIKKI MINAJ","32","Queens County",1,"Write-In5463",0
"Write-In5464","NOLE SCRUCKS","32","Queens County",2,"Write-In5464",0
"Write-In5465","OBE WAN KENOBI","32","Queens County",1,"Write-In5465",0
"Write-In5466","OMAR AHMED","32","Queens County",1,"Write-In5466",0
"Write-In5467","ORLANDO QUILES","32","Queens County",1,"Write-In5467",0
"Write-In5468","OSCAR MARTNEZ","32","Queens County",1,"Write-In5468",0
"Write-In5469","OSCAR VARGAS","32","Queens County",1,"Write-In5469",0
"Write-In5470","PAMELA ISLEY","32","Queens County",1,"Write-In5470",0
"Write-In5471","PAPERBOY LOVE PRINCE","32","Queens County",2,"Write-In5471",0
"Write-In5472","PATRICK LOGAN","32","Queens County",1,"Write-In5472",0
"Write-In5473","PATRICK WILLOUGHBY","32","Queens County",1,"Write-In5473",0
"Write-In5474","PAUL J. MARCEL","32","Queens County",2,"Write-In5474",0
"Write-In5475","PAUL KING","32","Queens County",1,"Write-In5475",0
"Write-In5476","PAUL POGOZELSKI","32","Queens County",1,"Write-In5476",0
"Write-In5477","PAYTON COLES","32","Queens County",1,"Write-In5477",0
"Write-In5478","PEDRO SURILLO","32","Queens County",1,"Write-In5478",0
"Write-In5479","PETER B. PARKER","32","Queens County",1,"Write-In5479",0
"Write-In5480","PETER STAMM JR.","32","Queens County",1,"Write-In5480",0
"Write-In5481","PETER WANG","32","Queens County",1,"Write-In5481",0
"Write-In5482","PHIL MCMANUS","32","Queens County",3,"Write-In5482",0
"Write-In5483","PHIL WONG","32","Queens County",1,"Write-In5483",0
"Write-In5484","PHILIP MCMANUS","32","Queens County",5,"Write-In5484",0
"Write-In5485","PHILLIP MCMANUS","32","Queens County",1,"Write-In5485",0
"Write-In5486","PHILLIP SESSA","32","Queens County",1,"Write-In5486",0
"Write-In5487","PORKY PIG","32","Queens County",1,"Write-In5487",0
"Write-In5488","RACHEL CONLEY","32","Queens County",1,"Write-In5488",0
"Write-In5489","RAIMONDO GRAZIANO","32","Queens County",2,"Write-In5489",0
"Write-In5490","RAMON CARTONA","32","Queens County",1,"Write-In5490",0
"Write-In5491","RAUL RUAO","32","Queens County",1,"Write-In5491",0
"Write-In5492","RAY CARTONA","32","Queens County",1,"Write-In5492",0
"Write-In5493","RICARDO J PEREZ","32","Queens County",1,"Write-In5493",0
"Write-In5494","RICH LEVY","32","Queens County",1,"Write-In5494",0
"Write-In5495","RICHARD REYNOSO","32","Queens County",2,"Write-In5495",0
"Write-In5496","RICHARD WAGNER","32","Queens County",1,"Write-In5496",0
"Write-In5497","RICK HORAN","32","Queens County",2,"Write-In5497",0
"Write-In5498","RICKY HARWAY","32","Queens County",1,"Write-In5498",0
"Write-In5499","ROB BRYN","32","Queens County",3,"Write-In5499",0
"Write-In55","ALAN WILK","22","Queens County",1,"Write-In55",0
"Write-In5500","ROBERT GALLAGHER","32","Queens County",1,"Write-In5500",0
"Write-In5501","ROBERT GROFF","32","Queens County",4,"Write-In5501",0
"Write-In5502","ROBERT HOLDEN","32","Queens County",2,"Write-In5502",0
"Write-In5503","ROBERT INTELISANO","32","Queens County",1,"Write-In5503",0
"Write-In5504","ROBERT SMITH","32","Queens County",1,"Write-In5504",0
"Write-In5505","ROLAND J. GORTON","32","Queens County",1,"Write-In5505",0
"Write-In5506","RONALD MCDONALD","32","Queens County",1,"Write-In5506",0
"Write-In5507","RONALD VALCE","32","Queens County",1,"Write-In5507",0
"Write-In5508","ROSEMERY HADLAU","32","Queens County",1,"Write-In5508",0
"Write-In5509","ROYTA IFTAKHER","32","Queens County",1,"Write-In5509",0
"Write-In5510","RUPERT HOLMES","32","Queens County",1,"Write-In5510",0
"Write-In5511","SACK O'SQUIRELS","32","Queens County",1,"Write-In5511",0
"Write-In5512","SAFAYET SAFIN","32","Queens County",1,"Write-In5512",0
"Write-In5513","SAKIB HAMID","32","Queens County",3,"Write-In5513",0
"Write-In5514","SAL ALBANESE","32","Queens County",1,"Write-In5514",0
"Write-In5515","SAM SEDER","32","Queens County",1,"Write-In5515",0
"Write-In5516","SAMUEL CHATRE","32","Queens County",1,"Write-In5516",0
"Write-In5517","SANTA CLAUS","32","Queens County",2,"Write-In5517",0
"Write-In5518","SARAH KENNY","32","Queens County",1,"Write-In5518",0
"Write-In5519","SARAH SPELLMAR","32","Queens County",1,"Write-In5519",0
"Write-In5520","SCOTT STRINGER","32","Queens County",2,"Write-In5520",0
"Write-In5521","SCOTT WIBA","32","Queens County",1,"Write-In5521",0
"Write-In5522","SEAN ARNOLD","32","Queens County",1,"Write-In5522",0
"Write-In5523","SELVENA BROOKS-POWERS","32","Queens County",1,"Write-In5523",0
"Write-In5524","SHAUN MULLER SMITH","32","Queens County",1,"Write-In5524",0
"Write-In5525","SHAWN ""JAY- Z"" CARTER","32","Queens County",1,"Write-In5525",0
"Write-In5526","SHEIKH HASINA","32","Queens County",1,"Write-In5526",0
"Write-In5527","SHEKAR KRISHNAN","32","Queens County",1,"Write-In5527",0
"Write-In5528","SHERIDAN C. CHU","32","Queens County",1,"Write-In5528",0
"Write-In5529","SKIBOKY STORA","32","Queens County",1,"Write-In5529",0
"Write-In5530","SONNYA ACUQUI","32","Queens County",1,"Write-In5530",0
"Write-In5531","STACEY PHEFFER AMATO","32","Queens County",4,"Write-In5531",0
"Write-In5532","STANFORD PINES","32","Queens County",1,"Write-In5532",0
"Write-In5533","STARLA MURASZKA","32","Queens County",1,"Write-In5533",0
"Write-In5534","STORMY DANIELS","32","Queens County",1,"Write-In5534",0
"Write-In5535","SYLVIA RIVERA","32","Queens County",1,"Write-In5535",0
"Write-In5536","TAMMY LEWIS","32","Queens County",1,"Write-In5536",0
"Write-In5537","TARA LANNEN-STANTON","32","Queens County",1,"Write-In5537",0
"Write-In5538","TASHEEM MONTGOMERY","32","Queens County",1,"Write-In5538",0
"Write-In5539","TAYLOR SWIFT","32","Queens County",1,"Write-In5539",0
"Write-In5540","TERQUAN MILLER","32","Queens County",1,"Write-In5540",0
"Write-In5541","TERRANCE WILLIAMS","32","Queens County",1,"Write-In5541",0
"Write-In5542","TERRY MAYNE BULLINGTON","32","Queens County",1,"Write-In5542",0
"Write-In5543","THOMAS HERSHLER","32","Queens County",1,"Write-In5543",0
"Write-In5544","TIFFANY L. CABAN","32","Queens County",2,"Write-In5544",0
"Write-In5545","TIMOTHY KLEIN","32","Queens County",1,"Write-In5545",0
"Write-In5546","TODD MULLER","32","Queens County",1,"Write-In5546",0
"Write-In5547","TOM SULLIVAN","32","Queens County",3,"Write-In5547",0
"Write-In5548","TREVOR FRYBAG","32","Queens County",1,"Write-In5548",0
"Write-In5549","TY HANKERSON","32","Queens County",2,"Write-In5549",0
"Write-In5550","TYLER BREUER","32","Queens County",1,"Write-In5550",0
"Write-In5551","TYLER BROWN","32","Queens County",1,"Write-In5551",0
"Write-In5552","UNATTRIBUTABLE WRITE-IN","32","Queens County",262,"Write-In5552",0
"Write-In5553","VALERIE VAN LEEL GREENBERG","32","Queens County",1,"Write-In5553",0
"Write-In5554","VANESSA MCHUGH","32","Queens County",1,"Write-In5554",0
"Write-In5555","VERMIN SUPREME","32","Queens County",1,"Write-In5555",0
"Write-In5556","VICKIE PALADINO","32","Queens County",1,"Write-In5556",0
"Write-In5557","VICTORIA BARBEE","32","Queens County",1,"Write-In5557",0
"Write-In5558","VINCENT J. NAPALITAANO","32","Queens County",1,"Write-In5558",0
"Write-In5559","VINCENT ZEPPE","32","Queens County",1,"Write-In5559",0
"Write-In5560","VIOLET MILLAN","32","Queens County",2,"Write-In5560",0
"Write-In5561","VOLODYMYR ZELENSKY","32","Queens County",1,"Write-In5561",0
"Write-In5562","WADE NEMBHAND","32","Queens County",1,"Write-In5562",0
"Write-In5563","WILLIAM QUATTROMANI","32","Queens County",1,"Write-In5563",0
"Write-In5564","WILLIAM SULLIVAN","32","Queens County",2,"Write-In5564",0
"Write-In5565","WILLIE NELSON","32","Queens County",1,"Write-In5565",0
"Write-In5566","YANET DAMINON RUIZ","32","Queens County",1,"Write-In5566",0
"Write-In5567","YUANJI LI","32","Queens County",1,"Write-In5567",0
"Write-In5568","YVONNE PENA","32","Queens County",1,"Write-In5568",0
"Write-In5569","ZOHRAN KWAME MAMDANI","32","Queens County",16,"Write-In5569",0
"Write-In5570","ZOYA KHAN","32","Queens County",1,"Write-In5570",0
"Write-In56","ALANA TLERNAY","22","Queens County",1,"Write-In56",0
"Write-In57","ALDO GALANTE","22","Queens County",1,"Write-In57",0
"Write-In58","ALESSANDRO COLACITO","22","Queens County",1,"Write-In58",0
"Write-In59","ALEX ASLAMHEK IZMAILOV","22","Queens County",1,"Write-In59",0
"Write-In60","ALEXANDER RUPPANER","22","Queens County",1,"Write-In60",0
"Write-In61","ALEXIS KALOYANIDES","22","Queens County",1,"Write-In61",0
"Write-In610","ADAM FREELAND","34","Queens County",1,"Write-In610",0
"Write-In611","ALICIA V. VAICHUNAS","34","Queens County",1,"Write-In611",0
"Write-In612","ALLEN HAULON WANG","34","Queens County",1,"Write-In612",0
"Write-In613","ANDREW M. CUOMO","34","Queens County",2,"Write-In613",0
"Write-In614","ANTHONY RAUKIS","34","Queens County",1,"Write-In614",0
"Write-In615","BENJAMIN E. FUNKHOUSER","34","Queens County",1,"Write-In615",0
"Write-In616","CHARLES POST","34","Queens County",1,"Write-In616",0
"Write-In617","CURTIS A. SLIWA","34","Queens County",1,"Write-In617",0
"Write-In618","ELIZABETH TOFT","34","Queens County",1,"Write-In618",0
"Write-In619","HAILEY WELCH","34","Queens County",1,"Write-In619",0
"Write-In62","ALFRED E NEWMAN","22","Queens County",1,"Write-In62",0
"Write-In620","JENIFER RAJKUMAR","34","Queens County",1,"Write-In620",0
"Write-In621","JOHN DOE","34","Queens County",1,"Write-In621",0
"Write-In622","JOHN SMITH","34","Queens County",1,"Write-In622",0
"Write-In623","KELVIN S. GERALD","34","Queens County",1,"Write-In623",0
"Write-In624","KRISTEN MORRISSON","34","Queens County",1,"Write-In624",0
"Write-In625","LEO NAMUCHE","34","Queens County",6,"Write-In625",0
"Write-In626","MARTYNA GRAZDA","34","Queens County",1,"Write-In626",0
"Write-In627","MATTHEW STUPP","34","Queens County",1,"Write-In627",0
"Write-In628","MICHAEL ANTHONY MORELGLIO","34","Queens County",1,"Write-In628",0
"Write-In629","MICKEY MOUSE","34","Queens County",3,"Write-In629",0
"Write-In63","ALICIA FERNANDEZ","22","Queens County",1,"Write-In63",0
"Write-In630","NICOLAS MADURO","34","Queens County",1,"Write-In630",0
"Write-In631","PATTY HEARST","34","Queens County",1,"Write-In631",0
"Write-In632","PHIL WONG","34","Queens County",1,"Write-In632",0
"Write-In633","RITA C. JOSEPH","34","Queens County",1,"Write-In633",0
"Write-In634","SHEKAR KRISHRAN","34","Queens County",1,"Write-In634",0
"Write-In635","TIFFANY L. CABAN","34","Queens County",1,"Write-In635",0
"Write-In636","UNATTRIBUTABLE WRITE-IN","34","Queens County",10,"Write-In636",0
"Write-In64","ALICIA V. VAICHUNAS","22","Queens County",2,"Write-In64",0
"Write-In65","ALLE MARYOOL AACAY","22","Queens County",1,"Write-In65",0
"Write-In66","ALLEN HAOLUN WANG","22","Queens County",1,"Write-In66",0
"Write-In67","ALRA SHIRATERI","22","Queens County",1,"Write-In67",0
"Write-In68","ALYSE PACKERS","22","Queens County",1,"Write-In68",0
"Write-In69","ALYSSA PAOLIELLI ROBINSON","22","Queens County",1,"Write-In69",0
"Write-In70","AMBER LEE","22","Queens County",1,"Write-In70",0
"Write-In71","AMBER PODUIN","22","Queens County",1,"Write-In71",0
"Write-In72","AMPARO CAMBA SILEO","22","Queens County",1,"Write-In72",0
"Write-In73","ANDREW B CARESS","22","Queens County",1,"Write-In73",0
"Write-In74","ANDREW M CUOMO","22","Queens County",1,"Write-In74",0
"Write-In75","ANDREW M. CUOMO","22","Queens County",11,"Write-In75",0
"Write-In76","ANDREW SALISKI","22","Queens County",1,"Write-In76",0
"Write-In77","ANDREW SCHULTZ","22","Queens County",1,"Write-In77",0
"Write-In78","ANDREW WALTERS","22","Queens County",1,"Write-In78",0
"Write-In79","ANDREW YANG","22","Queens County",1,"Write-In79",0
"Write-In80","ANDY COHEN","22","Queens County",1,"Write-In80",0
"Write-In81","ANGELA GARVIN","22","Queens County",2,"Write-In81",0
"Write-In82","ANGELA STATON","22","Queens County",1,"Write-In82",0
"Write-In83","ANGELO GARVIN","22","Queens County",1,"Write-In83",0
"Write-In84","ANGELO MANUEL","22","Queens County",1,"Write-In84",0
"Write-In85","ANN MEME FOSS","22","Queens County",1,"Write-In85",0
"Write-In86","ANNA DAVIDOVICY","22","Queens County",1,"Write-In86",0
"Write-In87","ANNA NAGIB","22","Queens County",1,"Write-In87",0
"Write-In88","ANNA SPIROU","22","Queens County",1,"Write-In88",0
"Write-In89","ANNABEL E SHORT","22","Queens County",1,"Write-In89",0
"Write-In90","ANNETTE PIZZANI","22","Queens County",1,"Write-In90",0
"Write-In91","ANTHONY MARDACH","22","Queens County",1,"Write-In91",0
"Write-In92","ANTHONY SIDERIS","22","Queens County",1,"Write-In92",0
"Write-In93","ANTHONY ZWOLENSKY","22","Queens County",1,"Write-In93",0
"Write-In94","ANTONE BURT HERLSTELIOS","22","Queens County",1,"Write-In94",0
"Write-In95","ANTONIOS HAMMIS","22","Queens County",1,"Write-In95",0
"Write-In96","APRIL LA","22","Queens County",1,"Write-In96",0
"Write-In97","ARAVELLA SIMOTAS","22","Queens County",5,"Write-In97",0
"Write-In98","ARCHIE JEFF","22","Queens County",1,"Write-In98",0
"Write-In99","ARMIN HOT","22","Queens County",1,"Write-In99",0
"Democratic.2529","Kamillah M. Hanks","49","Richmond County",20263,"Democratic",1
"Democratic.Richmond County.30","Radhakrishna Mohan","50","Richmond County",12953,"Democratic",0
"Democratic.9119","Clifford A. Hagen","51","Richmond County",12374,"Democratic",0
"Patriot Workers","John K. Buthorn","51","Richmond County",1039,"Patriot Workers",0
"Republican2","John E. Shea","49","Richmond County",12490,"Republican",0
"Republican and Conservative.13119","Frank Morano","51","Richmond County",45464,"Republican and Conservative",1
"Republican and Conservative.Richmond County.13","David M. Carr","50","Richmond County",35607,"Republican and Conservative",1
"Working Families and New North Shore","Sarah Blas","49","Richmond County",3838,"Working Families and New North Shore",0
"Write-In5571","ADAM GAZA","49","Richmond County",1,"Write-In5571",0
"Write-In5572","AIDAN RIVERA","49","Richmond County",2,"Write-In5572",0
"Write-In5573","ANDREW M. CUOMO","49","Richmond County",1,"Write-In5573",0
"Write-In5574","ANNA DIBONA","49","Richmond County",1,"Write-In5574",0
"Write-In5575","CAL RALEIGH","49","Richmond County",1,"Write-In5575",0
"Write-In5576","CHARLIE KIRK","49","Richmond County",1,"Write-In5576",0
"Write-In5577","CHRISTOPHER MARTE","49","Richmond County",2,"Write-In5577",0
"Write-In5578","CHRISTOPHER RYAN BIRSTLER","49","Richmond County",1,"Write-In5578",0
"Write-In5579","DEBORAH L. ROSE","49","Richmond County",2,"Write-In5579",0
"Write-In5580","DEMITRUS CAROLINA","49","Richmond County",1,"Write-In5580",0
"Write-In5581","ERIC MAYS","49","Richmond County",1,"Write-In5581",0
"Write-In5582","FRANK CHARLES","49","Richmond County",1,"Write-In5582",0
"Write-In5583","FRANK CRANE","49","Richmond County",1,"Write-In5583",0
"Write-In5584","GARY V. ROMEO, JR.","49","Richmond County",1,"Write-In5584",0
"Write-In5585","GEORGE SARANTOPOULOS","49","Richmond County",1,"Write-In5585",0
"Write-In5586","HATEM EL GAMSY","49","Richmond County",1,"Write-In5586",0
"Write-In5587","JAMES CLINTON","49","Richmond County",1,"Write-In5587",0
"Write-In5588","JOHN LUISI","49","Richmond County",1,"Write-In5588",0
"Write-In5589","JOHN SANGIORGIO","49","Richmond County",1,"Write-In5589",0
"Write-In5590","JOHN SAVARESE","49","Richmond County",1,"Write-In5590",0
